,Unnamed: 0,Temp,Humidity,Wind,Precipitation,Pressure
0,0,24.69,0.69,5.04,rain,1014.98
1,1,24.78,0.69,5.02,rain,1015.01
2,2,24.86,0.69,5.07,rain,1015.03
3,3,24.95,0.69,5.18,rain,1015.06
4,4,25.03,0.69,5.35,rain,1015.09
5,5,25.11,0.67,5.48,rain,1015.09
6,6,25.18,0.64,5.65,rain,1015.09
7,7,25.25,0.61,5.87,rain,1015.08
8,8,25.32,0.59,6.12,rain,1015.08
9,9,25.21,0.59,5.81,rain,1015.05
10,10,25.1,0.6,5.51,rain,1015.02
11,11,24.99,0.61,5.22,rain,1014.99
12,12,24.88,0.61,4.95,rain,1014.96
13,13,25.13,0.61,4.89,rain,1014.9
14,14,25.38,0.6,4.83,rain,1014.85
15,15,25.63,0.6,4.79,rain,1014.79
16,16,25.88,0.59,4.75,rain,1014.74
17,17,25.92,0.6,4.79,rain,1014.67
18,18,25.96,0.6,4.82,rain,1014.6
19,19,26.01,0.61,4.86,rain,1014.53
20,20,26.04,0.61,4.9,rain,1014.46
21,21,26.14,0.6,4.84,rain,1014.39
22,22,26.24,0.59,4.78,rain,1014.33
23,23,26.34,0.58,4.72,rain,1014.26
24,24,26.44,0.58,4.66,rain,1014.2
25,25,26.43,0.57,4.37,rain,1014.15
26,26,26.43,0.56,4.09,rain,1014.1
27,27,26.42,0.55,3.81,rain,1014.05
28,28,26.41,0.55,3.55,rain,1014.01
29,29,26.17,0.57,3.61,rain,1013.99
30,30,25.93,0.6,3.69,rain,1013.97
31,31,25.68,0.63,3.8,rain,1013.96
32,32,25.44,0.66,3.93,rain,1013.94
33,33,25.43,0.65,2.76,rain,1013.96
34,34,25.42,0.65,1.75,rain,1013.98
35,35,25.41,0.65,1.35,rain,1014.0
36,36,25.39,0.65,1.97,rain,1014.01
37,37,24.89,0.65,1.33,rain,1014.06
38,38,24.39,0.66,0.71,rain,1014.11
39,39,23.89,0.67,0.27,rain,1014.16
40,40,23.39,0.67,0.7,rain,1014.21
41,41,23.21,0.7,0.69,rain,1014.28
42,42,23.03,0.73,0.74,rain,1014.35
43,43,22.86,0.76,0.84,rain,1014.42
44,44,22.68,0.79,0.97,rain,1014.49
45,45,22.51,0.8,0.84,rain,1014.56
46,46,22.33,0.8,0.73,rain,1014.63
47,47,22.16,0.8,0.62,rain,1014.7
48,48,21.98,0.8,0.53,rain,1014.78
49,49,22.18,0.79,0.32,rain,1014.84
50,50,22.39,0.77,0.13,rain,1014.9
51,51,22.59,0.76,0.17,rain,1014.96
52,52,23.39,0.65,3.0,rain,1015.02
53,53,23.8,0.63,3.08,rain,1015.05
54,54,24.21,0.61,3.27,rain,1015.07
55,55,24.62,0.59,3.54,rain,1015.1
56,56,25.03,0.57,3.87,rain,1015.13
57,57,25.24,0.57,3.92,rain,1015.12
58,58,25.46,0.56,3.99,rain,1015.12
59,59,25.67,0.55,4.09,rain,1015.12
