"ID_SENSOR","DIRECTION","DATETIME","NUM_VEHICLES","SPEED_MEAN","SPEED_SD","EVENT","LON","LAT"
1,"A","2018-09-01T02:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T02:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T02:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T02:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T03:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T03:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T03:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T03:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T04:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T04:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T04:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T04:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T05:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T05:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T05:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T05:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T06:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T06:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T06:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T06:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T07:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T07:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T07:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T07:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T08:00",504,99.3,17.19,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T08:15",481,102.1,18.12,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T08:30",617,99.2,17.91,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T08:45",562,101.7,16.62,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T09:00",521,99.7,17.06,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T09:15",448,99.2,17.98,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T09:30",574,97.5,16.57,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T09:45",539,97.4,17.95,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T10:00",525,96.7,18.54,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T10:15",506,97.5,17.6,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T10:30",679,94.9,17.91,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T10:45",695,91.9,16.65,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T11:00",569,94.4,18.35,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T11:15",517,97.4,19.5,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T11:30",726,94.5,17.77,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T11:45",647,96.0,18.87,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T12:00",623,91.0,17.52,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T12:15",572,93.1,17.53,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T12:30",709,93.2,18.08,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T12:45",617,100.2,16.91,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T13:00",573,96.6,19.48,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T13:15",494,98.5,19.23,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T13:30",580,96.9,17.99,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T13:45",557,95.5,18.66,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T14:00",546,97.7,17.76,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T14:15",455,99.5,20.75,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T14:30",501,97.2,19.04,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T14:45",523,98.0,20.25,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T15:00",408,96.4,20.79,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T15:15",399,100.4,20.29,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T15:30",174,98.7,17.56,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T15:45",89,111.7,13.63,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T16:00",209,108.7,13.22,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T16:15",212,104.7,14.65,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T16:30",217,99.5,16.73,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T16:45",186,106.2,14.09,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T17:00",147,109.0,14.37,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T17:15",107,107.4,14.49,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T17:30",196,109.1,14.86,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T17:45",187,110.4,13.61,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T18:00",178,112.3,13.56,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T18:15",89,107.5,14.08,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T18:30",150,110.9,15.47,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T18:45",192,108.4,15.41,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T19:00",163,114.3,16.66,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T19:15",218,105.3,14.22,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T19:30",227,108.3,16.59,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T19:45",236,104.1,15.52,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T20:00",149,106.3,14.68,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T20:15",215,108.4,14.95,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T20:30",178,109.0,14.67,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T20:45",161,109.3,14.38,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T21:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T21:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T21:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T21:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T22:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T22:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T22:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T22:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T23:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T23:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T23:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-01T23:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T00:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T00:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T00:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T00:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T01:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T01:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T01:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T01:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T02:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T02:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T02:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T02:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T03:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T03:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T03:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T03:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T04:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T04:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T04:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T04:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T05:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T05:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T05:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T05:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T06:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T06:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T06:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T06:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T07:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T07:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T07:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T07:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T08:00",171,106.0,17.2,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T08:15",343,106.1,17.29,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T08:30",389,103.6,17.9,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T08:45",402,103.0,17.19,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T09:00",414,103.0,18.09,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T09:15",456,103.0,18.69,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T09:30",487,100.5,18.32,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T09:45",572,96.0,17.65,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T10:00",496,98.0,18.73,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T10:15",534,93.1,18.09,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T10:30",658,95.0,16.95,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T10:45",618,93.9,18.4,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T11:00",575,91.7,18.61,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T11:15",556,94.9,19.15,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T11:30",724,91.7,18.67,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T11:45",680,93.0,18.68,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T12:00",630,95.5,17.43,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T12:15",614,94.6,18.19,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T12:30",676,99.2,17.91,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T12:45",664,96.5,18.34,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T13:00",642,98.8,18.0,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T13:15",596,101.0,17.71,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T13:30",628,100.6,17.88,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T13:45",616,99.3,18.18,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T14:00",569,96.9,18.12,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T14:15",516,99.0,18.14,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T14:30",581,96.3,18.01,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T14:45",527,93.8,18.35,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T15:00",477,97.6,18.29,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T15:15",435,99.1,20.38,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T15:30",578,98.1,19.54,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T15:45",587,94.0,18.98,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T16:00",557,93.0,20.68,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T16:15",564,92.1,19.49,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T16:30",629,92.4,18.99,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T16:45",671,90.7,19.07,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T17:00",607,87.4,18.77,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T17:15",607,87.3,18.96,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T17:30",672,90.3,20.3,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T17:45",603,91.8,17.8,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T18:00",575,92.2,19.13,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T18:15",522,97.3,18.91,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T18:30",619,94.2,17.25,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T18:45",542,94.3,17.61,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T19:00",514,92.3,17.89,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T19:15",450,96.1,20.25,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T19:30",541,94.1,17.33,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T19:45",518,93.6,19.36,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T20:00",483,94.9,18.84,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T20:15",433,91.4,21.46,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T20:30",415,89.5,19.28,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T20:45",149,94.3,21.86,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T21:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T21:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T21:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T21:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T22:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T22:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T22:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T22:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T23:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T23:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T23:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-02T23:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T00:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T00:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T00:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T00:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T01:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T01:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T01:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T01:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T02:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T02:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T02:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T02:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T03:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T03:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T03:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T03:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T04:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T04:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T04:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T04:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T05:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T05:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T05:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T05:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T06:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T06:15",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T06:30",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T06:45",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T07:00",,,,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T07:15",235,105.8,12.0,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T07:30",476,103.2,13.67,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T07:45",499,100.3,13.98,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T08:00",208,101.1,14.04,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T08:15",201,108.8,12.72,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T08:30",139,108.0,11.45,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T08:45",252,110.8,11.94,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T09:00",333,109.7,13.92,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T09:15",353,109.8,14.97,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T09:30",294,109.3,13.56,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T09:45",334,104.3,16.48,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T10:00",307,107.1,15.05,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T10:15",332,105.0,14.82,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T10:30",314,108.4,13.13,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T10:45",340,104.1,14.71,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T11:00",334,105.8,14.85,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T11:15",313,107.1,15.1,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T11:30",418,107.1,15.42,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T11:45",353,108.1,16.38,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T12:00",365,103.5,15.39,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T12:15",410,103.4,17.34,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T12:30",436,100.4,16.46,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T12:45",453,102.3,16.39,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T13:00",465,103.4,18.27,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T13:15",546,101.3,17.83,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T13:30",574,100.6,18.8,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T13:45",564,97.6,17.81,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T14:00",537,102.1,18.41,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T14:15",676,100.1,18.01,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T14:30",618,98.3,18.37,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T14:45",340,104.1,19.64,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T15:00",396,101.8,20.05,"NO_EVENT",12.291754,41.800588
1,"A","2018-09-03T15:15",452,102.9,19.55,"NO_EVENT",12.291754,41.800588
