,Temp,Humidity,Wind,Precipitation,Pressure
0,24.69,0.69,5.04,rain,1014.98
1,24.78,0.69,5.02,rain,1015.01
2,24.86,0.69,5.07,rain,1015.03
3,24.95,0.69,5.18,rain,1015.06
4,25.03,0.69,5.35,rain,1015.09
5,25.11,0.67,5.48,rain,1015.09
6,25.18,0.64,5.65,rain,1015.09
7,25.25,0.61,5.87,rain,1015.08
8,25.32,0.59,6.12,rain,1015.08
9,25.21,0.59,5.81,rain,1015.05
10,25.1,0.6,5.51,rain,1015.02
11,24.99,0.61,5.22,rain,1014.99
12,24.88,0.61,4.95,rain,1014.96
13,25.13,0.61,4.89,rain,1014.9
14,25.38,0.6,4.83,rain,1014.85
15,25.63,0.6,4.79,rain,1014.79
16,25.88,0.59,4.75,rain,1014.74
17,25.92,0.6,4.79,rain,1014.67
18,25.96,0.6,4.82,rain,1014.6
19,26.01,0.61,4.86,rain,1014.53
20,26.04,0.61,4.9,rain,1014.46
21,26.14,0.6,4.84,rain,1014.39
22,26.24,0.59,4.78,rain,1014.33
23,26.34,0.58,4.72,rain,1014.26
24,26.44,0.58,4.66,rain,1014.2
25,26.43,0.57,4.37,rain,1014.15
26,26.43,0.56,4.09,rain,1014.1
27,26.42,0.55,3.81,rain,1014.05
28,26.41,0.55,3.55,rain,1014.01
29,26.17,0.57,3.61,rain,1013.99
30,25.93,0.6,3.69,rain,1013.97
31,25.68,0.63,3.8,rain,1013.96
32,25.44,0.66,3.93,rain,1013.94
33,25.43,0.65,2.76,rain,1013.96
34,25.42,0.65,1.75,rain,1013.98
35,25.41,0.65,1.35,rain,1014.0
36,25.39,0.65,1.97,rain,1014.01
37,24.89,0.65,1.33,rain,1014.06
38,24.39,0.66,0.71,rain,1014.11
39,23.89,0.67,0.27,rain,1014.16
40,23.39,0.67,0.7,rain,1014.21
41,23.21,0.7,0.69,rain,1014.28
42,23.03,0.73,0.74,rain,1014.35
43,22.86,0.76,0.84,rain,1014.42
44,22.68,0.79,0.97,rain,1014.49
45,22.51,0.8,0.84,rain,1014.56
46,22.33,0.8,0.73,rain,1014.63
47,22.16,0.8,0.62,rain,1014.7
48,21.98,0.8,0.53,rain,1014.78
49,22.18,0.79,0.32,rain,1014.84
50,22.39,0.77,0.13,rain,1014.9
51,22.59,0.76,0.17,rain,1014.96
52,23.39,0.65,3.0,rain,1015.02
53,23.8,0.63,3.08,rain,1015.05
54,24.21,0.61,3.27,rain,1015.07
55,24.62,0.59,3.54,rain,1015.1
56,25.03,0.57,3.87,rain,1015.13
57,25.24,0.57,3.92,rain,1015.12
58,25.46,0.56,3.99,rain,1015.12
59,25.67,0.55,4.09,rain,1015.12
60,25.88,0.54,4.23,rain,1015.12
61,25.77,0.55,4.28,rain,1015.09
62,25.66,0.55,4.36,rain,1015.06
63,25.55,0.55,4.48,rain,1015.03
64,25.44,0.55,4.62,rain,1015.0
65,25.55,0.56,4.66,rain,1014.94
66,25.66,0.57,4.7,rain,1014.89
67,25.77,0.58,4.74,rain,1014.83
68,25.88,0.59,4.78,rain,1014.77
69,25.88,0.59,4.59,rain,1014.7
70,25.89,0.59,4.4,rain,1014.64
71,25.89,0.59,4.2,rain,1014.57
72,25.9,0.59,4.01,rain,1014.5
73,25.78,0.6,4.25,rain,1014.43
74,25.67,0.61,4.56,rain,1014.37
75,25.55,0.61,4.95,rain,1014.3
76,25.43,0.62,5.39,rain,1014.23
77,25.55,0.62,5.23,rain,1014.19
78,25.67,0.62,5.11,rain,1014.14
79,25.78,0.63,5.01,rain,1014.09
80,25.9,0.63,4.94,rain,1014.05
81,25.78,0.62,4.83,rain,1014.03
82,25.65,0.61,4.73,rain,1014.01
83,25.52,0.6,4.64,rain,1014.0
84,25.39,0.6,4.58,rain,1013.98
85,25.14,0.6,4.22,rain,1014.0
86,24.89,0.6,3.85,rain,1014.02
87,24.64,0.6,3.49,rain,1014.03
88,24.39,0.6,3.12,rain,1014.05
89,24.02,0.62,2.91,rain,1014.1
90,23.64,0.64,2.7,rain,1014.15
91,23.27,0.66,2.51,rain,1014.2
92,22.9,0.68,2.32,rain,1014.25
93,22.81,0.7,2.08,rain,1014.32
94,22.72,0.72,1.84,rain,1014.39
95,22.63,0.74,1.6,rain,1014.46
96,22.54,0.77,1.35,rain,1014.53
97,22.08,0.79,1.1,rain,1014.6
98,21.61,0.81,0.85,rain,1014.67
99,21.15,0.83,0.61,rain,1014.74
100,20.69,0.85,0.39,rain,1014.82
101,20.69,0.84,0.23,rain,1014.88
102,20.69,0.84,0.62,rain,1014.94
103,20.69,0.83,1.06,rain,1015.0
104,21.19,0.77,2.26,rain,1014.93
105,21.78,0.74,2.11,rain,1014.98
106,22.37,0.71,1.95,rain,1015.02
107,22.95,0.69,1.8,rain,1015.06
108,23.43,0.66,1.36,rain,1015.09
109,23.91,0.63,1.41,rain,1015.11
110,24.39,0.61,1.9,rain,1015.14
111,24.88,0.58,2.6,rain,1015.16
112,24.99,0.58,2.07,rain,1015.16
113,25.1,0.58,1.74,rain,1015.16
114,25.21,0.58,1.73,rain,1015.16
115,25.32,0.58,2.03,rain,1015.16
116,25.35,0.59,2.43,rain,1015.13
117,25.38,0.59,2.83,rain,1015.1
118,25.41,0.59,3.24,rain,1015.07
119,25.44,0.6,3.64,rain,1015.04
120,25.41,0.61,3.33,rain,1014.98
121,25.38,0.62,3.03,rain,1014.92
122,25.35,0.63,2.73,rain,1014.87
123,25.32,0.64,2.43,rain,1014.81
124,25.26,0.64,2.56,rain,1014.74
125,25.19,0.64,2.7,rain,1014.67
126,25.13,0.64,2.85,rain,1014.6
127,25.06,0.64,3.01,rain,1014.53
128,25.11,0.65,2.79,rain,1014.47
129,25.15,0.66,2.58,rain,1014.4
130,25.19,0.67,2.38,rain,1014.34
131,25.24,0.68,2.2,rain,1014.27
132,25.63,0.66,1.41,rain,1014.22
133,26.02,0.63,1.15,rain,1014.18
134,26.41,0.61,1.7,rain,1014.13
135,26.81,0.59,2.58,rain,1014.08
136,26.31,0.6,1.14,rain,1014.07
137,25.82,0.62,0.62,rain,1014.05
138,25.33,0.63,1.98,rain,1014.03
139,24.83,0.65,3.44,rain,1014.02
140,24.68,0.66,3.36,rain,1014.04
141,24.54,0.66,3.27,rain,1014.06
142,24.39,0.67,3.19,rain,1014.07
143,24.24,0.68,3.12,rain,1014.09
144,23.77,0.69,2.84,rain,1014.14
145,23.31,0.7,2.57,rain,1014.19
146,22.84,0.71,2.3,rain,1014.24
147,22.37,0.73,2.03,rain,1014.29
148,22.2,0.74,1.76,rain,1014.36
149,22.03,0.75,1.51,rain,1014.43
150,21.86,0.76,1.27,rain,1014.5
151,21.69,0.78,1.07,rain,1014.57
152,21.44,0.79,1.01,rain,1014.64
153,21.19,0.79,1.0,rain,1014.71
