,Temp,Humidity,Wind,Precipitation,Pressure
0,25.92,0.63,1.58,rain,1014.55
1,25.86,0.67,2.4,rain,1014.5
2,25.8,0.71,3.5,rain,1014.46
3,25.66,0.72,3.71,rain,1014.45
4,25.52,0.74,3.93,rain,1014.43
5,25.38,0.75,4.14,rain,1014.42
6,25.24,0.76,4.35,rain,1014.4
7,25.02,0.76,4.32,rain,1014.42
8,24.79,0.77,4.3,rain,1014.44
9,24.56,0.77,4.27,rain,1014.46
10,24.33,0.77,4.25,rain,1014.48
11,24.22,0.77,4.01,rain,1014.54
12,24.1,0.78,3.78,rain,1014.59
13,23.99,0.78,3.55,rain,1014.64
14,23.87,0.79,3.32,rain,1014.69
15,23.64,0.79,3.16,rain,1014.76
16,23.4,0.8,3.01,rain,1014.83
17,23.17,0.8,2.89,rain,1014.9
18,22.93,0.81,2.8,rain,1014.97
19,22.0,0.81,2.38,rain,1015.04
20,21.07,0.81,2.04,rain,1015.11
21,20.13,0.81,1.82,rain,1015.18
22,19.2,0.81,1.77,rain,1015.26
23,19.89,0.82,1.39,rain,1015.31
24,20.57,0.82,1.15,rain,1015.37
25,21.26,0.82,1.14,rain,1015.43
26,20.4,0.86,1.51,rain,1015.01
27,20.36,0.88,1.26,rain,1015.04
28,20.32,0.89,1.02,rain,1015.08
29,20.28,0.9,0.81,rain,1015.11
30,20.24,0.92,0.67,rain,1015.14
31,20.81,0.88,0.84,rain,1015.19
32,21.38,0.85,1.01,rain,1015.23
33,21.94,0.82,1.18,rain,1015.28
34,22.51,0.79,1.35,rain,1015.32
35,22.86,0.78,1.31,rain,1015.37
36,23.19,0.76,1.35,rain,1015.41
37,23.53,0.75,1.45,rain,1015.45
38,23.87,0.74,1.61,rain,1015.49
39,24.12,0.72,1.7,rain,1015.52
40,24.37,0.69,1.81,rain,1015.54
41,24.62,0.66,1.95,rain,1015.56
42,24.87,0.64,2.1,rain,1015.59
43,25.24,0.63,2.2,rain,1015.59
44,25.61,0.63,2.45,rain,1015.58
45,25.98,0.63,2.8,rain,1015.58
46,26.34,0.62,3.22,rain,1015.58
47,26.36,0.62,3.4,rain,1015.54
48,26.37,0.62,3.58,rain,1015.51
49,26.38,0.62,3.76,rain,1015.48
50,26.38,0.61,3.94,rain,1015.44
51,26.74,0.59,4.01,rain,1015.39
52,27.09,0.57,4.09,rain,1015.33
53,27.45,0.54,4.16,rain,1015.27
54,27.81,0.52,4.23,rain,1015.22
55,27.93,0.52,4.15,rain,1015.15
56,28.05,0.52,4.08,rain,1015.08
57,28.17,0.52,4.01,rain,1015.01
58,28.29,0.53,3.95,rain,1014.94
59,28.18,0.53,4.2,rain,1014.87
60,28.08,0.54,4.47,rain,1014.81
61,27.97,0.54,4.77,rain,1014.74
62,27.87,0.55,5.08,rain,1014.68
