,Temp,Humidity,Wind,Precipitation,Pressure
0,21.71,0.75,4.35,rain,1016.54
1,21.57,0.75,4.27,rain,1016.48
2,21.43,0.76,4.21,rain,1016.43
3,21.46,0.76,4.21,rain,1016.36
4,21.49,0.76,4.21,rain,1016.3
5,21.53,0.75,4.21,rain,1016.23
6,21.57,0.75,4.21,rain,1016.17
7,21.57,0.76,3.93,rain,1016.12
8,21.57,0.78,3.66,rain,1016.06
9,21.57,0.79,3.38,rain,1016.01
10,21.57,0.8,3.11,rain,1015.95
11,21.32,0.81,2.85,rain,1015.93
12,21.07,0.83,2.59,rain,1015.9
13,20.83,0.84,2.36,rain,1015.87
14,20.58,0.85,2.13,rain,1015.84
15,20.58,0.85,2.05,rain,1015.84
16,20.58,0.84,1.99,rain,1015.85
17,20.58,0.83,1.95,rain,1015.85
18,20.58,0.83,1.94,rain,1015.86
19,20.33,0.84,1.21,rain,1015.89
20,20.08,0.86,0.53,rain,1015.93
21,19.83,0.87,0.44,rain,1015.96
22,19.58,0.88,1.1,rain,1016.0
23,19.33,0.89,0.94,rain,1016.06
24,19.08,0.89,0.89,rain,1016.12
25,18.83,0.9,0.97,rain,1016.18
26,18.58,0.91,1.14,rain,1016.24
27,18.33,0.91,1.27,rain,1016.31
28,18.08,0.91,1.39,rain,1016.38
29,17.83,0.91,1.51,rain,1016.45
30,17.58,0.91,1.63,rain,1016.52
31,17.62,0.91,1.69,rain,1016.58
32,17.65,0.91,1.74,rain,1016.64
33,17.69,0.91,1.79,rain,1016.7
34,17.72,0.9,1.85,rain,1016.77
35,17.83,0.89,1.69,rain,1016.8
36,17.94,0.88,1.53,rain,1016.84
37,18.04,0.87,1.37,rain,1016.88
38,17.43,0.77,1.84,rain,1016.77
39,18.18,0.75,1.77,rain,1016.79
40,18.93,0.72,1.71,rain,1016.82
41,19.68,0.69,1.67,rain,1016.84
42,20.43,0.67,1.65,rain,1016.86
43,20.57,0.64,1.12,rain,1016.85
44,20.71,0.62,1.17,rain,1016.85
45,20.86,0.6,1.73,rain,1016.84
46,21.0,0.57,2.49,rain,1016.83
47,20.89,0.58,2.31,rain,1016.79
48,20.79,0.58,2.33,rain,1016.76
49,20.68,0.58,2.55,rain,1016.72
50,20.58,0.58,2.93,rain,1016.68
51,20.72,0.6,2.83,rain,1016.63
52,20.86,0.61,2.75,rain,1016.57
53,21.01,0.62,2.68,rain,1016.51
54,21.14,0.63,2.61,rain,1016.45
55,20.86,0.64,2.41,rain,1016.39
56,20.58,0.65,2.23,rain,1016.32
57,20.29,0.67,2.04,rain,1016.26
58,20.01,0.68,1.87,rain,1016.19
59,19.92,0.67,1.6,rain,1016.14
60,19.83,0.67,1.35,rain,1016.09
61,19.74,0.66,1.14,rain,1016.03
62,19.66,0.65,1.0,rain,1015.98
63,19.61,0.68,0.57,rain,1015.95
64,19.57,0.7,0.13,rain,1015.92
65,19.52,0.73,0.31,rain,1015.89
66,19.47,0.75,0.74,rain,1015.86
67,18.71,0.79,1.24,rain,1015.87
68,17.95,0.83,2.18,rain,1015.87
69,17.19,0.87,3.19,rain,1015.88
70,16.43,0.91,4.22,rain,1015.88
71,16.21,0.9,3.81,rain,1015.92
72,16.0,0.89,3.41,rain,1015.95
73,15.78,0.88,3.01,rain,1015.99
74,15.57,0.87,2.62,rain,1016.03
75,15.53,0.88,2.21,rain,1016.09
76,15.5,0.89,2.03,rain,1016.15
77,15.46,0.9,2.15,rain,1016.21
78,15.43,0.91,2.52,rain,1016.27
79,15.32,0.91,2.45,rain,1016.34
80,15.21,0.91,2.38,rain,1016.41
81,15.11,0.91,2.32,rain,1016.48
82,15.0,0.91,2.26,rain,1016.55
83,14.89,0.92,2.02,rain,1016.61
84,14.79,0.92,1.84,rain,1016.67
85,14.68,0.92,1.76,rain,1016.73
86,14.57,0.93,1.78,rain,1016.79
87,14.57,0.93,1.62,rain,1016.83
88,14.57,0.93,1.63,rain,1016.87
89,14.57,0.93,1.82,rain,1016.91
90,17.43,0.72,2.6,rain,1016.8
91,17.71,0.7,2.51,rain,1016.82
92,18.0,0.67,2.62,rain,1016.84
93,18.29,0.65,2.89,rain,1016.86
94,18.58,0.62,3.3,rain,1016.89
95,18.83,0.62,3.38,rain,1016.88
96,19.08,0.61,3.45,rain,1016.87
97,19.33,0.61,3.53,rain,1016.86
98,19.58,0.61,3.61,rain,1016.86
99,19.47,0.61,3.97,rain,1016.82
100,19.37,0.61,4.32,rain,1016.78
101,19.26,0.61,4.68,rain,1016.75
102,19.15,0.61,5.05,rain,1016.71
